"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4855351";"";"None";"360.42";"0";"3.96";"19";"Cc1ccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c2c1";"IC50";"'='";"32.8";"nM";"7.48";"";"";"UO_0000065";"20.77";"0.38";"3.52";"8.46";"0";"CHEMBL4820058";"Inhibition of N-terminal GST-tagged recombinant human full length ASK1 expressed in baculovirus-infected Sf21 cells using STK-Substrate-3 biotin as substrate in presence of ATP measured after 2 hrs by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf21";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4819011";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"TIME = 2.0 hr";"INHIBITOR";"";"32.8"
"CHEMBL4873779";"";"None";"392.34";"0";"2.41";"29";"C[C@H](n1cnnc1-c1cccc(NC(=O)c2cccn(C)c2=O)n1)C(F)(F)F";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"19.74";"0.38";"5.33";"8.18";"0";"CHEMBL4845477";"Inhibition of ASK1 (unknown origin) using myelin basic protein as substrate preincubated for 20 mins followed by 33P-ATP addition and measured after 2 hrs";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.333 hr";"INHIBITOR";"";"18.0"
"CHEMBL4868362";"";"None";"407.36";"0";"2.39";"15";"COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C2(C(F)(F)F)CC2)n1";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"18.43";"0.35";"5.12";"7.53";"0";"CHEMBL4845478";"Inhibition of full-length human ASK1 expressed in HEK293T cells assessed as reduction in autophosphorylation of ASK1 at T383 residue incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"31.0"
"CHEMBL4857751";"";"None";"409.37";"0";"2.94";"18";"CCn1cc(C(=O)Nc2cccc(-c3nncn3[C@@H](C)C(F)(F)F)n2)c(OC)n1";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"19.26";"0.37";"4.95";"7.91";"0";"CHEMBL4845478";"Inhibition of full-length human ASK1 expressed in HEK293T cells assessed as reduction in autophosphorylation of ASK1 at T383 residue incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"13.0"
"CHEMBL4861953";"";"None";"391.35";"0";"3.72";"24";"COc1ccccc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1";"IC50";"'='";"53.0";"nM";"7.28";"";"";"UO_0000065";"18.59";"0.35";"3.56";"8.88";"0";"CHEMBL4845478";"Inhibition of full-length human ASK1 expressed in HEK293T cells assessed as reduction in autophosphorylation of ASK1 at T383 residue incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"53.0"
"CHEMBL4852061";"";"None";"392.34";"0";"3.12";"28";"COc1ncccc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1";"IC50";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"19.29";"0.37";"4.45";"7.98";"0";"CHEMBL4845478";"Inhibition of full-length human ASK1 expressed in HEK293T cells assessed as reduction in autophosphorylation of ASK1 at T383 residue incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"27.0"
"CHEMBL2348838";"";"None";"442.35";"1";"5.32";"19c";"CCC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3cc(Cl)ccc3Cl)o2)SC1=S";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"14.24";"0.32";"0.98";"8.91";"0";"CHEMBL2352238";"Inhibition of human ASK1 using MBP as substrate incubated for 10 mins prior to ATP addition measured after 20 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346522";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"0.5"
"CHEMBL2348825";"";"None";"280.33";"0";"1.37";"3c";"O=C(O)CN1C(=O)/C(=C/c2ccncc2)SC1=S";"IC50";"'>'";"33000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2352238";"Inhibition of human ASK1 using MBP as substrate incubated for 10 mins prior to ATP addition measured after 20 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346522";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"33.0"
"CHEMBL2349221";"";"None";"405.47";"0";"4.24";"33d";"COC(=O)CCCN1C(=O)/C(=C/c2ccc(-c3ccccc3F)o2)SC1=S";"IC50";"'>'";"33000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2352238";"Inhibition of human ASK1 using MBP as substrate incubated for 10 mins prior to ATP addition measured after 20 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346522";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"33.0"
"CHEMBL4474208";"";"None";"283.74";"0";"2.17";"7";"CS(=O)(=O)Nc1cc(-c2ccncc2)cnc1Cl";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4385144";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4382269";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"5.0"
"CHEMBL4848618";"";"None";"369.39";"0";"1.30";"8";"COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@H]2CCOC2)n1";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"21.92";"0.41";"6.80";"7.43";"0";"CHEMBL4845477";"Inhibition of ASK1 (unknown origin) using myelin basic protein as substrate preincubated for 20 mins followed by 33P-ATP addition and measured after 2 hrs";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.333 hr";"INHIBITOR";"";"8.0"
"CHEMBL4861953";"";"None";"391.35";"0";"3.72";"24";"COc1ccccc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"21.78";"0.42";"4.80";"10.40";"0";"CHEMBL4845477";"Inhibition of ASK1 (unknown origin) using myelin basic protein as substrate preincubated for 20 mins followed by 33P-ATP addition and measured after 2 hrs";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.333 hr";"INHIBITOR";"";"3.0"
"CHEMBL4867144";"";"None";"371.40";"0";"1.54";"6";"COC[C@@H](C)n1cnnc1-c1cccc(NC(=O)c2cn(C)nc2OC)n1";"IC50";"'='";"403.0";"nM";"6.39";"";"";"UO_0000065";"17.22";"0.32";"4.85";"5.87";"0";"CHEMBL4845478";"Inhibition of full-length human ASK1 expressed in HEK293T cells assessed as reduction in autophosphorylation of ASK1 at T383 residue incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"403.0"
"CHEMBL2348839";"";"None";"442.35";"1";"5.32";"20c";"O=C(O)CCCN1C(=O)/C(=C/c2ccc(-c3c(Cl)cccc3Cl)o2)SC1=S";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"14.24";"0.32";"0.98";"8.91";"0";"CHEMBL2352238";"Inhibition of human ASK1 using MBP as substrate incubated for 10 mins prior to ATP addition measured after 20 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346522";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"0.5"
"CHEMBL2349215";"";"None";"473.53";"0";"3.76";"35c";"CCOC(=O)c1ccc(-c2ccc(/C=C3\SC(=S)N(C(CC(=O)O)C(C)=O)C3=O)o2)cc1";"IC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"12.88";"0.26";"2.34";"5.34";"0";"CHEMBL2352238";"Inhibition of human ASK1 using MBP as substrate incubated for 10 mins prior to ATP addition measured after 20 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346522";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"0.8"
"CHEMBL2348831";"";"None";"379.85";"0";"3.89";"11c";"O=C(O)CN1C(=O)/C(=C/c2ccc(-c3ccccc3Cl)o2)SC1=S";"IC50";"'='";"1250.0";"nM";"5.90";"";"";"UO_0000065";"15.54";"0.34";"2.01";"8.34";"0";"CHEMBL2352238";"Inhibition of human ASK1 using MBP as substrate incubated for 10 mins prior to ATP addition measured after 20 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346522";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"1.25"
"CHEMBL3963789";"";"None";"373.84";"0";"3.16";"BDBM128410";"CCn1cc(Cl)c2cnc(NC(=O)c3ccc([C@](C)(O)CO)cc3)cc21";"IC50";"'='";"12.0";"nM";"7.92";"";"259341";"UO_0000065";"21.19";"0.42";"4.76";"9.06";"0";"CHEMBL3705948";"Homogeneous Time-Resolved Fluorescence Assay: The inhibitory properties of compounds to ASK1 may be determined using a white 384-well-plate format under the following reaction conditions: 25 nM ASK1, 1 uM CisBio STK S3-biotion peptide, 100 uM ATP, and 1%-2% DMSO in kinase assay buffer of 50 mM HEPES, pH 7.3, 10 mM NaCl, 10 mM MgCl2, 0.01% Brij35, 0.2 mM EDTA, and 1 mM DTT. Reaction product is determined quantitatively by HTRF after the addition of detection reagent SA-XL665 and STK-antibody-cryptate.The assay reaction may be initiated as follows: 2 ul of the mixture of 3 uM CisBio STK S3-biotion peptide and 300 uM ATP with 2 ul of test compound (2 fold serial dilutions for 11 data points for each inhibitor) containing 3%-6% DMSO are added to each well of the plate, followed by the addition of 2 uL of 75 nM ASK1 to initiate the reaction (final enzyme concentration was 25 nM for ASK1). The reaction mixture may then be incubated at room temperature for 1 hour, and quenched and developed.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639127";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"12.0"
"CHEMBL3966379";"";"None";"359.81";"0";"2.68";"BDBM128414";"Cn1cc(Cl)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21";"IC50";"'='";"19.0";"nM";"7.72";"";"259345";"UO_0000065";"21.46";"0.42";"5.04";"8.84";"0";"CHEMBL3705948";"Homogeneous Time-Resolved Fluorescence Assay: The inhibitory properties of compounds to ASK1 may be determined using a white 384-well-plate format under the following reaction conditions: 25 nM ASK1, 1 uM CisBio STK S3-biotion peptide, 100 uM ATP, and 1%-2% DMSO in kinase assay buffer of 50 mM HEPES, pH 7.3, 10 mM NaCl, 10 mM MgCl2, 0.01% Brij35, 0.2 mM EDTA, and 1 mM DTT. Reaction product is determined quantitatively by HTRF after the addition of detection reagent SA-XL665 and STK-antibody-cryptate.The assay reaction may be initiated as follows: 2 ul of the mixture of 3 uM CisBio STK S3-biotion peptide and 300 uM ATP with 2 ul of test compound (2 fold serial dilutions for 11 data points for each inhibitor) containing 3%-6% DMSO are added to each well of the plate, followed by the addition of 2 uL of 75 nM ASK1 to initiate the reaction (final enzyme concentration was 25 nM for ASK1). The reaction mixture may then be incubated at room temperature for 1 hour, and quenched and developed.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639127";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"19.0"
"CHEMBL3683266";"";"None";"543.58";"1";"4.84";"BDBM162317";"C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCCC3)cn2)cs1)C(F)(F)F";"IC50";"'='";"2.2";"nM";"8.66";"";"305305";"UO_0000065";"15.93";"0.31";"3.82";"8.12";"0";"CHEMBL3705386";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Assay: The assay measures the phosphorylation level of a biotinylated peptide substrate by the ASK1 kinase using HTRF detection (6.1). This is a competitive, time-resolved fluorescence resonance energy transfer (TR-FRET) immunoassay, based on HTRF KinEASE-STK manual from Cisbio (6.1). Test compound, 1 uM STK3 peptide substrate, 4 nM of ASK1 kinase are incubated with 10 mM MOP buffer, pH. 7.0 containing 10 mM Mg-acetate, 0.025% NP-40, 1 mM DTT, 0.05% BSA and 1.5% glycerol for 30 minutes then 100 uM ATP is added to start the kinase reaction and incubated for 3 hr. Peptide antibody labeled with 1x Eu3+ Cryptate buffer containing 10 mM EDTA and 125 nM Streptavidin XL665 are added to stop the reaction and phosphorylated peptide substrate is detected using Envision 2103 Multilabeled reader from PerkinElmer. The fluorescence is measured at 615 nm (Cryptate) and 665 nm (XL665) and a ratio of 665 nm/615 nm is calculated for each well.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638433";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"2.2"
"CHEMBL1642655";"";"None";"359.43";"0";"4.07";"1";"CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"21.85";"0.40";"3.78";"12.23";"0";"CHEMBL1648128";"Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641590";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"14.0"
"CHEMBL1172777";"";"None";"181.22";"0";"0.66";"4";"CSc1nc(N)nc2[nH]cnc12";"IC50";"'='";"13300.0";"nM";"4.88";"";"";"UO_0000065";"26.91";"0.55";"4.22";"6.06";"0";"CHEMBL1648128";"Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641590";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"13.3"
"CHEMBL4753192";"";"None";"352.40";"0";"3.17";"12f";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C3CC3)n[nH]2)n1";"IC50";"'='";"123.7";"nM";"6.91";"";"";"UO_0000065";"19.60";"0.36";"3.74";"6.09";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"123.7"
"CHEMBL4763562";"";"None";"373.42";"0";"4.11";"13a";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nccc3ccccc23)n1";"IC50";"'='";"48.5";"nM";"7.31";"";"";"UO_0000065";"19.59";"0.36";"3.20";"7.49";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"48.5"
"CHEMBL4749551";"";"None";"373.42";"0";"4.11";"13b";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc3ccccc3cn2)n1";"IC50";"'='";"50.6";"nM";"7.30";"";"";"UO_0000065";"19.54";"0.36";"3.19";"7.47";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"50.6"
"CHEMBL4787238";"";"None";"376.42";"0";"3.45";"13j";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nn(C)c3ccccc23)n1";"IC50";"'='";"259.3";"nM";"6.59";"";"";"UO_0000065";"17.50";"0.32";"3.14";"6.42";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"259.3"
"CHEMBL2348826";"";"None";"342.40";"0";"3.19";"5c";"O=C(O)c1ccc(N2C(=O)/C(=C/c3cccnc3)SC2=S)cc1";"IC50";"'>'";"33000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2352238";"Inhibition of human ASK1 using MBP as substrate incubated for 10 mins prior to ATP addition measured after 20 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346522";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"33.0"
"CHEMBL2349201";"";"None";"472.33";"0";"4.38";"21c";"O=C(O)CC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3c(Cl)cccc3Cl)o2)SC1=S";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"12.70";"0.28";"1.62";"5.55";"0";"CHEMBL2352238";"Inhibition of human ASK1 using MBP as substrate incubated for 10 mins prior to ATP addition measured after 20 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346522";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"1.0"
"CHEMBL3402484";"";"None";"430.49";"1";"5.29";"9";"Cc1cc(C)c2nc(N3C(=O)C(O)=C(C(=O)c4ccco4)C3c3ccccc3)sc2c1";"IC50";"'='";"63000.0";"nM";"4.20";"";"";"UO_0000065";"9.76";"0.19";"-1.09";"5.02";"0";"CHEMBL3405544";"Inhibition of recombinant ASK1 catalytic subunit (unknown origin) using MBP substrate and gamma-labeled 32P ATP incubated for 20 mins by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400130";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"63.0"
"CHEMBL3402497";"";"None";"488.54";"1";"5.93";"23";"CCOc1ccc(C(=O)C2=C(O)C(=O)N(c3nc4ccc(C)cc4s3)C2c2ccc(F)cc2)cc1";"IC50";"'='";"5500.0";"nM";"5.26";"";"";"UO_0000065";"10.77";"0.21";"-0.67";"6.60";"0";"CHEMBL3405544";"Inhibition of recombinant ASK1 catalytic subunit (unknown origin) using MBP substrate and gamma-labeled 32P ATP incubated for 20 mins by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400130";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"5.5"
"CHEMBL5400071";"";"None";"538.59";"1";"4.72";"21c";"CC(C)n1cc(-c2cc(C(=O)Nc3cccc(-c4nncn4C4CC4)n3)c(=O)n(Cc3ccccc3F)c2)cn1";"IC50";"'='";"9.13";"nM";"8.04";"";"";"UO_0000065";"14.93";"0.27";"3.32";"7.14";"0";"CHEMBL5356322";"Inhibition of human recombinant ASK1 using MBP as substrate preincubated for 1 hr followed by reagent addition incubated for 40 mins by ATP-Glo kinase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352493";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 1.667 hr";"INHIBITOR";"";"9.13"
"CHEMBL4799364";"";"None";"340.39";"0";"2.61";"12b";"Cc1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)nn1C";"IC50";"'='";"142.7";"nM";"6.85";"";"";"UO_0000065";"20.11";"0.37";"4.24";"6.68";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"142.7"
"CHEMBL4792461";"";"None";"366.43";"0";"3.18";"12h";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C3CC3)nn2C)n1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"";"";"10.0"
"CHEMBL4473364";"";"None";"413.46";"0";"2.17";"23";"CS(=O)(=O)c1ccc2c(c1)C(=O)Nc1cccc(n1)-c1nncn1CCCCO2";"IC50";"'='";"1437.0";"nM";"5.84";"";"";"UO_0000065";"14.13";"0.28";"3.67";"5.03";"0";"CHEMBL4324210";"Inhibition of V5 tagged human ASK1 expressed in HEK-293T cells assessed as reduction in T838 autophosphorylation incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4321844";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3706569";"";"";"";"1437.0"
"CHEMBL4521694";"";"None";"309.33";"0";"2.14";"10";"COc1ccccc1C(=O)Nc1cccc(-c2nncn2C)n1";"IC50";"'='";"92.0";"nM";"7.04";"";"";"UO_0000065";"22.75";"0.42";"4.90";"8.59";"0";"CHEMBL4324209";"Inhibition of human ASK1 using myelin basic protein substrate pre-incubated for 20 mins before [33P]-ATP addition and measured after 2 hrs by filter-binding method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4321844";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"92.0"
